key,year,area,Behavior,Bioengineering,Computer Science,Ergonomics,Engineering,Interdisciplinary,Human-Computer Interaction,Health,Science,Sensors,Ubiquitous Computing
ahmad2017sitting,2017,Sensors,,,,,,,,,,1,
ahmad2021proposal,2021,Sensors,,,,,,,,,,1,
ahn2015development,2015,Computer Science,,,1,,,,,,,,
alattas2014detecting,2014,Computer Science,,,1,,,,,,,,
anwary2019real,2019,Computer Science,,,1,,,,,,,,
anwary2020monitoring,2020,Computer Science,,,1,,,,,,,,
ardito2021lowcost,2021,Engineering,,,,,1,,,,,,
arrogi2019validation,2019,Health,,,,,,,,1,,,
arshad2022intelligent,2022,Computer Science,,,1,,,,,,,,
azrin1968behavioral,1968,Behavior,1,,,,,,,,,,
bagalkot2019reride,2019,Human-Computer Interaction,,,,,,,1,,,,
bailly2016livingdesktop,2016,Human-Computer Interaction,,,,,,,1,,,,
bao2013sitting,2013,Engineering,,,,,1,,,,,,
baptista2017flexible,2017,Computer Science,,,1,,,,,,,,
barba2015development,2015,Sensors,,,,,,,,,,1,
barone2019sensory,2019,Engineering,,,,,1,,,,,,
bei2017sitting,2017,Engineering,,,,,1,,,,,,
benocci2011contextaware,2011,Sensors,,,,,,,,,,1,
bibbo2018nonintrusive,2018,Health,,,,,,,,1,,,
bibbo2019sitting,2019,Sensors,,,,,,,,,,1,
bibbo2020influence,2020,Engineering,,,,,1,,,,,,
bootsman2019wearable,2019,Human-Computer Interaction,,,,,,,1,,,,
bourahmoune2019aipowered,2019,Computer Science,,,1,,,,,,,,
bourahmoune2022intelligent,2022,Sensors,,,,,,,,,,1,
braun2015capacitive,2015,Ubiquitous Computing,,,,,,,,,,,1
breen2009evaluation,2009,Health,,,,,,,,1,,,
cai2021improved,2021,Sensors,,,,,,,,,,1,
chen2019sitting,2019,Engineering,,,,,1,,,,,,
cheng2013smart,2013,Ubiquitous Computing,,,,,,,,,,,1
chin2019posture,2019,Engineering,,,,,1,,,,,,
cho2019sitting,2019,Computer Science,,,1,,,,,,,,
choi2015estimation,2015,Engineering,,,,,1,,,,,,
cun2021sitting,2021,Engineering,,,,,1,,,,,,
daian2007sensitive,2007,Ergonomics,,,,1,,,,,,,
demmans2007posture,2007,Human-Computer Interaction,,,,,,,1,,,,
dib2007effects,2007,Behavior,1,,,,,,,,,,
ding2019realtime,2019,Computer Science,,,1,,,,,,,,
duffy2013measuring,2013,Computer Science,,,1,,,,,,,,
dunne2006design,2006,Computer Science,,,1,,,,,,,,
dunne2008wearable,2008,Bioengineering,,1,,,,,,,,,
el-sayed2011novel,2011,Bioengineering,,1,,,,,,,,,
epstein2012effects,2012,Behavior,1,,,,,,,,,,
estrada2016realtime,2016,Engineering,,,,,1,,,,,,
estrada2017sitting,2017,Engineering,,,,,1,,,,,,
fan2022deep,2022,Bioengineering,,1,,,,,,,,,
feng2019are,2019,Computer Science,,,1,,,,,,,,
feng2020sitr,2020,Computer Science,,,1,,,,,,,,
ferreira2014breakout,2014,Human-Computer Interaction,,,,,,,1,,,,
ferro2009sensing,2009,Computer Science,,,1,,,,,,,,
flutur2019smart,2019,Engineering,,,,,1,,,,,,
fradet2011use,2011,Health,,,,,,,,1,,,
fragkiadakis2019design,2019,Bioengineering,,1,,,,,,,,,
fujita2021tiltchair,2021,Human-Computer Interaction,,,,,,,1,,,,
gaffney2015evaluation,2016,Bioengineering,,1,,,,,,,,,
